player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Glenn Robinson,MIL,28.0,200.66,104.32616,76,22.0,6.9,3.3,4.6,0.051,0.156,0.288,0.525,0.157,2000-01
Glen Rice,NYK,34.0,203.2,99.79024,75,12.0,4.1,1.2,4.5,0.035,0.135,0.206,0.54,0.074,2000-01
Gerard King,WAS,28.0,205.74,104.32616,45,4.8,2.9,0.7,-8.9,0.062,0.1639999999999999,0.153,0.552,0.08,2000-01
Greg Ostertag,UTA,28.0,218.44,127.00576,81,4.5,5.1,0.3,0.9,0.139,0.201,0.128,0.522,0.025,2000-01
George McCloud,DEN,34.0,203.2,102.0582,76,9.6,2.9,3.7,-5.1,0.031,0.096,0.19,0.496,0.223,2000-01
Gary Trent,DAL,26.0,203.2,113.398,33,4.0,2.8,0.3,-9.9,0.128,0.183,0.236,0.456,0.0559999999999999,2000-01
Gary Payton,SEA,32.0,193.04,81.64656,79,23.1,4.6,8.1,-0.6,0.025,0.1009999999999999,0.27,0.522,0.364,2000-01
Gary Grant,POR,36.0,190.5,83.91452,4,2.5,0.0,0.3,14.9,0.0,0.0,0.2019999999999999,0.7140000000000001,0.1,2000-01
Garth Joseph,DEN,27.0,218.44,138.799152,4,0.5,0.5,0.3,-35.0,0.111,0.0,0.211,0.17,0.1,2000-01
Fred Hoiberg,CHI,28.0,195.58,95.25432,74,9.1,4.2,3.6,-10.2,0.011,0.159,0.132,0.598,0.2,2000-01
Felton Spencer,NYK,33.0,213.36,120.20188,18,2.2,1.9,0.1,7.3,0.152,0.216,0.174,0.629,0.031,2000-01
Keith Van Horn,NJN,25.0,208.28,115.66596,49,17.0,7.1,1.7,-4.0,0.052,0.182,0.2339999999999999,0.526,0.0819999999999999,2000-01
George Lynch,PHI,30.0,203.2,103.418976,82,8.4,7.2,1.7,4.1,0.087,0.163,0.138,0.496,0.084,2000-01
Jamal Mashburn,CHH,28.0,203.2,109.315672,76,20.1,7.6,5.4,3.7,0.034,0.184,0.268,0.493,0.262,2000-01
Hakeem Olajuwon,HOU,38.0,213.36,115.66596,58,11.9,7.4,1.2,1.1,0.094,0.226,0.216,0.526,0.0819999999999999,2000-01
Hedo Turkoglu,SAC,22.0,203.2,99.79024,74,5.3,2.8,0.9,5.7,0.044,0.129,0.156,0.509,0.088,2000-01
Jamaal Magloire,CHH,23.0,208.28,117.93392,74,4.6,4.0,0.4,3.2,0.111,0.195,0.1639999999999999,0.506,0.042,2000-01
Jalen Rose,IND,28.0,203.2,102.0582,72,20.5,5.0,6.0,-0.3,0.015,0.119,0.257,0.53,0.288,2000-01
Jake Voskuhl,CHI,23.0,210.82,111.13004,16,1.9,2.1,0.3,-24.7,0.098,0.2,0.141,0.481,0.068,2000-01
Jake Tsakalidis,PHX,22.0,218.44,129.27372,57,4.5,4.2,0.3,-3.1,0.0969999999999999,0.187,0.155,0.502,0.033,2000-01
Jahidi White,WAS,25.0,205.74,131.54168,68,8.6,7.7,0.3,-7.3,0.131,0.255,0.192,0.535,0.021,2000-01
Jacque Vaughn,UTA,26.0,185.42,86.18248,82,6.1,1.8,3.9,-6.3,0.0139999999999999,0.1,0.171,0.535,0.3429999999999999,2000-01
Jabari Smith,SAC,24.0,210.82,113.398,9,2.9,0.9,0.7,2.6,0.019,0.106,0.2,0.528,0.15,2000-01
Hanno Mottola,ATL,24.0,210.82,112.037224,73,4.4,2.4,0.3,-12.8,0.055,0.145,0.175,0.504,0.044,2000-01
J.R. Reid,CLE,33.0,205.74,112.037224,6,1.7,1.3,0.2,-22.4,0.128,0.081,0.109,0.5870000000000001,0.042,2000-01
Ira Newble,SAS,26.0,200.66,97.52228,27,2.0,1.3,0.2,-15.1,0.074,0.142,0.171,0.435,0.063,2000-01
Ira Bowman,ATL,28.0,195.58,88.45044,3,0.0,0.7,2.3,-15.3,0.077,0.091,0.085,0.0,0.636,2000-01
