quadruplet
"(Kornel David, dreb_pct, ts_pct, player_height)"
"(Kobe Bryant, pts, usg_pct, ast)"
"(Laron Profit, ast_pct, ast, nan)"
"(Khalid El-Amin, ast_pct, ast, usg_pct)"
"(Kevin Willis, age, dreb_pct, reb)"
"(Kevin Ollie, ast_pct, gp, net_rating)"
"(Kevin Garnett, reb, pts, dreb_pct)"
"(Kevin Edwards, age, nan, nan)"
"(Keon Clark, gp, player_height, dreb_pct)"
"(Kenyon Martin, reb, dreb_pct, pts)"
"(Kenny Thomas, player_weight, reb, gp)"
"(Keyon Dooling, ast_pct, gp, ast)"
"(Mark Bryant, age, player_weight, dreb_pct)"
"(Larry Hughes, ast, pts, usg_pct)"
"(Larry Robinson, age, ts_pct, nan)"
"(Mario Elie, age, ts_pct, gp)"
"(Marcus Fizer, player_weight, usg_pct, dreb_pct)"
"(Marcus Camby, reb, dreb_pct, oreb_pct)"
"(Marc Jackson, player_weight, reb, dreb_pct)"
"(Mamadou N'diaye, oreb_pct, player_height, player_weight)"
"(Malik Rose, net_rating, player_weight, dreb_pct)"
"(Mahmoud Abdul-Rauf, usg_pct, ast_pct, age)"
"(Larry Johnson, age, reb, gp)"
"(Lucious Harris, gp, age, pts)"
"(Loy Vaught, dreb_pct, age, oreb_pct)"
"(Lorenzen Wright, reb, player_height, dreb_pct)"
"(Lindsey Hunter, gp, net_rating, ast_pct)"
"(Lee Nailon, player_weight, net_rating, ts_pct)"
"(Lawrence Funderburke, oreb_pct, dreb_pct, age)"
"(Lavor Postell, usg_pct, net_rating, nan)"
"(Latrell Sprewell, pts, usg_pct, ast)"
"(Luc Longley, player_height, player_weight, oreb_pct)"
"(Evan Eschmeyer, oreb_pct, player_weight, player_height)"
"(David Robinson, reb, age, net_rating)"
"(Ervin Johnson, dreb_pct, reb, oreb_pct)"
"(Bryon Russell, gp, ts_pct, net_rating)"
"(Bryce Drew, ast, ast_pct, nan)"
"(Bryant Stith, gp, age, ts_pct)"
"(Bryant Reeves, player_weight, player_height, dreb_pct)"
"(Bruno Sundov, player_height, player_weight, dreb_pct)"
"(Bruce Bowen, gp, net_rating, age)"
"(Brian Skinner, player_weight, dreb_pct, oreb_pct)"
"(Cal Bowdler, player_height, oreb_pct, player_weight)"
"(Brian Shaw, age, gp, ast)"
"(Brian Cardinal, player_weight, player_height, oreb_pct)"
"(Brevin Knight, ast, ast_pct, nan)"
"(Brent Price, usg_pct, ast_pct, age)"
"(Brent Barry, ts_pct, ast, ast_pct)"
"(Brad Miller, dreb_pct, reb, player_height)"
"(Bonzi Wells, usg_pct, ts_pct, gp)"
"(Bobby Jackson, gp, net_rating, ast_pct)"
"(Brian Grant, reb, dreb_pct, pts)"
"(Bob Sura, ast, ast_pct, pts)"
"(Calbert Cheaney, net_rating, age, nan)"
"(Carlos Rogers, ts_pct, oreb_pct, player_height)"
"(Chris Mullin, age, nan, nan)"
"(Chris Mills, reb, age, pts)"
"(Chris Mihm, player_height, player_weight, oreb_pct)"
"(Chris Herren, ast_pct, net_rating, ast)"
"(Chris Gatling, usg_pct, dreb_pct, age)"
"(Chris Garner, ast_pct, ast, nan)"
"(Chris Dudley, age, dreb_pct, oreb_pct)"
"(Calvin Booth, player_height, dreb_pct, oreb_pct)"
"(Chris Crawford, player_height, player_weight, ts_pct)"
"(Chris Carr, ts_pct, usg_pct, nan)"
"(Cherokee Parks, player_height, dreb_pct, player_weight)"
"(Chauncey Billups, ast_pct, ast, gp)"
"(Charlie Ward, ast_pct, ast, net_rating)"
"(Charles Oakley, reb, age, dreb_pct)"
"(Cedric Henderson, player_weight, gp, nan)"
"(Cedric Ceballos, usg_pct, age, ts_pct)"
"(Chris Childs, ast_pct, ast, age)"
"(Chris Porter, usg_pct, oreb_pct, pts)"
"(Bo Outlaw, reb, ts_pct, gp)"
"(Billy Owens, oreb_pct, age, reb)"
"(Andy Panko, player_weight, player_height, net_rating)"
"(Andrew DeClercq, oreb_pct, player_weight, net_rating)"
"(Andre Miller, ast, ast_pct, pts)"
"(Alvin Williams, ast, ast_pct, gp)"
"(Alonzo Mourning, usg_pct, oreb_pct, reb)"
"(Allen Iverson, pts, usg_pct, ast)"
"(Allan Houston, pts, usg_pct, gp)"
"(Anfernee Hardaway, ast, ast_pct, reb)"
"(Alan Henderson, oreb_pct, reb, usg_pct)"
"(Adrian Griffin, dreb_pct, oreb_pct, nan)"
"(Adonal Foyle, reb, oreb_pct, player_weight)"
"(Adam Keefe, oreb_pct, age, dreb_pct)"
"(Aaron Williams, reb, gp, dreb_pct)"
"(Aaron McKie, ast, ast_pct, net_rating)"
"(A.J. Guyton, ast_pct, ast, ts_pct)"
"(A.C. Green, age, gp, oreb_pct)"
"(Al Harrington, player_weight, gp, reb)"
"(Bimbo Coles, ast_pct, age, ast)"
"(Antawn Jamison, pts, reb, usg_pct)"
"(Anthony Goldwire, ast_pct, usg_pct, age)"
"(Bill Curley, oreb_pct, ts_pct, player_height)"
"(Ben Wallace, reb, dreb_pct, oreb_pct)"
"(Baron Davis, ast, ast_pct, gp)"
"(Avery Johnson, age, ast_pct, ast)"
"(Austin Croshere, gp, usg_pct, player_weight)"
