quadruplet
"(Vince Carter, pts, usg_pct, ast)"
"(Zendon Hamilton, oreb_pct, dreb_pct, player_weight)"
"(Zeljko Rebraca, player_height, player_weight, dreb_pct)"
"(Zach Randolph, oreb_pct, player_weight, usg_pct)"
"(William Avery, ast_pct, usg_pct, net_rating)"
"(Will Solomon, usg_pct, ast_pct, gp)"
"(Wesley Person, pts, ts_pct, gp)"
"(Wang Zhi-zhi, player_height, net_rating, ts_pct)"
"(Walter McCarty, ts_pct, player_height, net_rating)"
"(Walt Williams, age, ts_pct, pts)"
"(Wally Szczerbiak, pts, gp, ts_pct)"
"(Voshon Lenard, usg_pct, gp, pts)"
"(Vonteego Cummings, ast_pct, usg_pct, gp)"
"(Vladimir Stepania, dreb_pct, oreb_pct, player_height)"
"(Vladimir Radmanovic, player_height, dreb_pct, net_rating)"
"(Vlade Divac, reb, player_height, age)"
"(Vitaly Potapenko, player_weight, oreb_pct, gp)"
"(Vinny Del Negro, ast_pct, usg_pct, age)"
"(Toni Kukoc, age, ast_pct, player_height)"
"(Tom Gugliotta, age, player_height, reb)"
"(Todd MacCulloch, player_weight, player_height, oreb_pct)"
"(Tim Thomas, gp, usg_pct, player_height)"
"(Slava Medvedenko, oreb_pct, net_rating, player_weight)"
"(Shawnelle Scott, oreb_pct, dreb_pct, player_weight)"
"(Shawn Marion, reb, pts, dreb_pct)"
"(Shawn Kemp, player_weight, dreb_pct, age)"
"(Shawn Bradley, player_height, player_weight, net_rating)"
"(Shareef Abdur-Rahim, pts, reb, usg_pct)"
"(Shaquille O'Neal, pts, player_weight, reb)"
"(Shane Battier, pts, gp, reb)"
"(Shandon Anderson, gp, age, nan)"
"(Shammond Williams, ast_pct, ts_pct, net_rating)"
"(Sean Rooks, player_weight, age, player_height)"
"(Sean Marks, dreb_pct, player_weight, player_height)"
"(Scottie Pippen, ast, age, ast_pct)"
"(Scott Williams, age, oreb_pct, dreb_pct)"
"(Scott Padgett, oreb_pct, ts_pct, gp)"
"(Scot Pollard, reb, player_weight, dreb_pct)"
"(Samuel Dalembert, dreb_pct, oreb_pct, player_height)"
"(Speedy Claxton, ast_pct, ast, gp)"
"(Sam Mitchell, age, gp, net_rating)"
"(Stacey Augmon, age, gp, net_rating)"
"(Stephon Marbury, ast, ast_pct, pts)"
"(Tim James, oreb_pct, usg_pct, nan)"
"(Tim Hardaway, age, ast_pct, ast)"
"(Tim Duncan, reb, pts, usg_pct)"
"(Tierre Brown, ast_pct, usg_pct, ast)"
"(Theo Ratliff, player_height, reb, ts_pct)"
"(Terry Porter, age, net_rating, ast_pct)"
"(Terrell Brandon, ast, ast_pct, age)"
"(Terence Morris, gp, player_height, oreb_pct)"
"(Tariq Abdul-Wahad, oreb_pct, usg_pct, nan)"
"(Tang Hamilton, ts_pct, player_height, net_rating)"
"(Stromile Swift, reb, oreb_pct, pts)"
"(Mark Pope, player_height, player_weight, age)"
"(Steven Hunter, player_height, oreb_pct, ts_pct)"
"(Steve Nash, ast, ast_pct, pts)"
"(Steve Kerr, age, ts_pct, net_rating)"
"(Steve Goodrich, player_height, ast_pct, nan)"
"(Steve Francis, ast, pts, usg_pct)"
"(Stephen Jackson, usg_pct, player_height, nan)"
"(Mark Madsen, oreb_pct, net_rating, player_height)"
"(Kevin Ollie, ast_pct, gp, ast)"
"(Mark Bryant, age, oreb_pct, player_weight)"
"(Greg Anthony, ast_pct, ast, age)"
"(Grant Long, age, player_weight, player_height)"
"(Grant Hill, reb, ast, pts)"
"(Glenn Robinson, pts, usg_pct, reb)"
"(Glen Rice, age, player_height, pts)"
"(Gilbert Arenas, ast_pct, ast, ts_pct)"
"(Gerald Wallace, oreb_pct, net_rating, usg_pct)"
"(Greg Buckner, ts_pct, oreb_pct, net_rating)"
"(George McCloud, age, ast, gp)"
"(Gary Trent, oreb_pct, player_weight, dreb_pct)"
"(Gary Payton, ast, ast_pct, pts)"
"(Fred Hoiberg, gp, dreb_pct, age)"
"(Felton Spencer, player_weight, age, player_height)"
"(Felipe Lopez, gp, nan, nan)"
"(Evan Eschmeyer, oreb_pct, dreb_pct, player_weight)"
"(Etan Thomas, dreb_pct, player_weight, oreb_pct)"
"(George Lynch, age, oreb_pct, net_rating)"
"(Greg Foster, dreb_pct, age, player_height)"
"(Greg Ostertag, player_weight, oreb_pct, player_height)"
"(Hakeem Olajuwon, age, dreb_pct, player_height)"
"(Jalen Rose, pts, usg_pct, ast)"
"(Jake Voskuhl, oreb_pct, ts_pct, player_height)"
"(Jake Tsakalidis, player_weight, player_height, reb)"
"(Jahidi White, player_weight, dreb_pct, oreb_pct)"
"(Jacque Vaughn, ast_pct, ast, gp)"
"(Jabari Smith, player_height, player_weight, net_rating)"
"(Isaiah Rider, usg_pct, net_rating, age)"
"(Ira Newble, ts_pct, reb, oreb_pct)"
"(Ira Bowman, ts_pct, age, nan)"
"(Ike Fontaine, nan, nan, nan)"
"(Ike Austin, player_weight, dreb_pct, age)"
"(Hubert Davis, age, ts_pct, ast)"
"(Howard Eisley, ast_pct, ast, age)"
"(Horace Grant, age, reb, net_rating)"
"(Hedo Turkoglu, net_rating, gp, dreb_pct)"
"(Harold Jamison, oreb_pct, player_weight, ts_pct)"
"(Hanno Mottola, gp, player_height, player_weight)"
"(Ervin Johnson, age, dreb_pct, player_weight)"
"(Jamaal Magloire, ts_pct, dreb_pct, oreb_pct)"
"(Ernest Brown, dreb_pct, player_height, usg_pct)"
"(Erick Dampier, player_weight, oreb_pct, player_height)"
"(Donyell Marshall, reb, pts, oreb_pct)"
"(Donny Marshall, age, player_weight, oreb_pct)"
"(Donnell Harvey, oreb_pct, dreb_pct, reb)"
"(Don Reid, oreb_pct, player_weight, gp)"
"(Dirk Nowitzki, pts, reb, dreb_pct)"
"(Dion Glover, usg_pct, pts, player_weight)"
"(Dikembe Mutombo, reb, age, player_height)"
"(Doug Christie, ast, net_rating, gp)"
"(Dickey Simpkins, ast_pct, player_weight, age)"
"(Desmond Mason, gp, net_rating, pts)"
"(Derrick McKey, age, player_height, player_weight)"
"(Derrick Dial, usg_pct, ast_pct, net_rating)"
"(Derrick Coleman, reb, age, player_weight)"
"(Derek Fisher, net_rating, ts_pct, gp)"
"(Derek Anderson, ast, net_rating, gp)"
"(Zydrunas Ilgauskas, player_height, usg_pct, oreb_pct)"
"(Devean George, net_rating, gp, player_height)"
"(Doug Overton, age, usg_pct, ast_pct)"
"(Earl Boykins, ast_pct, gp, usg_pct)"
"(Earl Watson, ast_pct, net_rating, gp)"
"(Erick Barkley, ast_pct, net_rating, ast)"
"(Eric Williams, net_rating, gp, age)"
"(Eric Snow, ast, ast_pct, net_rating)"
"(Eric Piatkowski, ts_pct, age, gp)"
"(Eric Montross, player_weight, player_height, dreb_pct)"
"(Emanual Davis, age, ast, ast_pct)"
"(Elton Brand, reb, oreb_pct, pts)"
"(Elliot Perry, ast_pct, age, ast)"
"(Eldridge Recasner, ast_pct, age, net_rating)"
"(Elden Campbell, player_weight, reb, dreb_pct)"
"(Eduardo Najera, oreb_pct, net_rating, reb)"
"(Eddy Curry, player_weight, oreb_pct, player_height)"
"(Eddie Robinson, usg_pct, player_height, pts)"
"(Eddie Jones, pts, gp, usg_pct)"
"(Eddie House, usg_pct, ast_pct, gp)"
"(Eddie Griffin, reb, player_height, gp)"
"(Eddie Gill, ast_pct, ts_pct, ast)"
"(Erick Strickland, gp, ast_pct, ts_pct)"
"(Mark Jackson, ast, ast_pct, age)"
"(Jamaal Tinsley, ast, ast_pct, gp)"
"(Jamal Mashburn, pts, usg_pct, ast)"
"(Kwame Brown, player_height, dreb_pct, oreb_pct)"
"(Kurt Thomas, reb, dreb_pct, gp)"
"(Kobe Bryant, pts, usg_pct, ast)"
"(Kirk Haston, usg_pct, dreb_pct, player_weight)"
"(Keyon Dooling, net_rating, usg_pct, nan)"
"(Kevin Willis, age, dreb_pct, oreb_pct)"
"(Kevin Garnett, reb, pts, dreb_pct)"
"(LaPhonso Ellis, age, player_weight, gp)"
"(Kerry Kittles, gp, pts, net_rating)"
"(Kenyon Martin, pts, net_rating, gp)"
"(Kenny Thomas, reb, pts, player_weight)"
"(Kenny Satterfield, ast_pct, ast, usg_pct)"
"(Kenny Anderson, ast, ast_pct, gp)"
"(Kendall Gill, age, gp, nan)"
"(Kelvin Cato, reb, dreb_pct, ts_pct)"
"(Keith Van Horn, reb, dreb_pct, pts)"
"(Keon Clark, dreb_pct, reb, gp)"
"(Lamar Odom, ast, ast_pct, reb)"
"(Lamond Murray, pts, usg_pct, gp)"
"(Larry Hughes, ast, ast_pct, pts)"
"(Mark Blount, player_height, player_weight, dreb_pct)"
"(Marcus Fizer, usg_pct, player_weight, gp)"
"(Marcus Camby, reb, dreb_pct, oreb_pct)"
"(Marc Jackson, player_weight, oreb_pct, dreb_pct)"
"(Mamadou N'diaye, ts_pct, player_height, oreb_pct)"
"(Malik Rose, oreb_pct, dreb_pct, net_rating)"
"(Malik Allen, player_weight, oreb_pct, player_height)"
"(Lucious Harris, gp, age, ts_pct)"
"(Lorenzen Wright, reb, dreb_pct, oreb_pct)"
"(Loren Woods, player_height, oreb_pct, player_weight)"
"(Lindsey Hunter, gp, age, net_rating)"
"(Leon Smith, dreb_pct, oreb_pct, player_height)"
"(Lee Nailon, gp, usg_pct, pts)"
"(Lawrence Funderburke, oreb_pct, age, dreb_pct)"
"(Lavor Postell, usg_pct, net_rating, nan)"
"(Latrell Sprewell, pts, usg_pct, ast)"
"(Larry Robinson, dreb_pct, age, net_rating)"
"(Kedrick Brown, dreb_pct, net_rating, nan)"
"(Jamal Crawford, ast_pct, ts_pct, usg_pct)"
"(Karl Malone, pts, age, usg_pct)"
"(Jumaine Jones, gp, dreb_pct, reb)"
"(Jelani McCoy, dreb_pct, oreb_pct, player_height)"
"(Jeff Trepagnier, ast_pct, net_rating, usg_pct)"
"(Jeff McInnis, ast, ast_pct, pts)"
"(Jeff Foster, oreb_pct, dreb_pct, reb)"
"(Jason Williams, ast, ast_pct, usg_pct)"
"(Jason Terry, ast, pts, ast_pct)"
"(Jason Richardson, pts, gp, ast)"
"(Jermaine Jackson, ast_pct, ts_pct, ast)"
"(Jason Kidd, ast, ast_pct, reb)"
"(Jason Collins, player_height, player_weight, oreb_pct)"
"(Jason Collier, player_height, player_weight, oreb_pct)"
"(Jason Caffey, player_weight, oreb_pct, ts_pct)"
"(Jarron Collins, oreb_pct, player_height, player_weight)"
"(Jaren Jackson, age, ts_pct, player_weight)"
"(Jamison Brewer, ast_pct, net_rating, dreb_pct)"
"(James Posey, reb, gp, dreb_pct)"
"(Jason Hart, ts_pct, ast_pct, net_rating)"
"(Jermaine O'Neal, reb, pts, dreb_pct)"
"(Jerome James, player_weight, player_height, oreb_pct)"
"(Jerome Moiso, dreb_pct, player_height, net_rating)"
"(Jud Buechler, age, gp, dreb_pct)"
"(Joseph Forte, ast_pct, usg_pct, dreb_pct)"
"(Jonathan Bender, player_height, gp, ts_pct)"
"(Jon Barry, ts_pct, gp, ast_pct)"
"(Johnny Newman, age, ts_pct, net_rating)"
"(John Wallace, usg_pct, player_height, age)"
"(John Stockton, ast, ast_pct, age)"
"(John Starks, age, gp, net_rating)"
"(John Crotty, ast_pct, ts_pct, age)"
"(John Amaechi, player_weight, oreb_pct, age)"
"(Joel Przybilla, player_height, player_weight, dreb_pct)"
"(Joe Smith, net_rating, reb, ts_pct)"
"(Joe Johnson, gp, ast, net_rating)"
"(Joe Crispin, ast_pct, usg_pct, ts_pct)"
"(Jim Jackson, age, reb, pts)"
"(Jeryl Sasser, oreb_pct, usg_pct, nan)"
"(Jerry Stackhouse, usg_pct, pts, ast)"
"(Juwan Howard, reb, pts, gp)"
"(Jerome Williams, oreb_pct, reb, ts_pct)"
"(Nick Van Exel, ast, ast_pct, pts)"
"(Chris Whitney, ast, gp, ast_pct)"
"(Carlos Rogers, player_height, ts_pct, oreb_pct)"
"(Cedric Henderson, net_rating, usg_pct, ts_pct)"
"(Charles Oakley, age, dreb_pct, reb)"
"(Charles Smith, usg_pct, gp, net_rating)"
"(Charlie Bell, oreb_pct, usg_pct, nan)"
"(Charlie Ward, ast_pct, ast, age)"
"(Carlos Arroyo, ast_pct, ast, nan)"
"(Chauncey Billups, ast, ast_pct, gp)"
"(Chris Andersen, oreb_pct, net_rating, player_height)"
"(Chris Childs, ast_pct, ast, age)"
"(Chris Crawford, usg_pct, player_height, player_weight)"
"(Chris Dudley, age, player_weight, player_height)"
"(Chris Gatling, age, oreb_pct, dreb_pct)"
"(Chris Mihm, player_weight, player_height, oreb_pct)"
"(Cherokee Parks, oreb_pct, player_height, dreb_pct)"
"(Chris Mills, age, gp, ts_pct)"
"(Calvin Booth, player_height, oreb_pct, player_weight)"
"(Cal Bowdler, player_weight, player_height, oreb_pct)"
"(Brandon Armstrong, usg_pct, nan, nan)"
"(Brendan Haywood, oreb_pct, player_weight, player_height)"
"(Brent Barry, ast, ts_pct, pts)"
"(Brent Price, age, ast_pct, usg_pct)"
"(Brevin Knight, ast_pct, ast, usg_pct)"
"(Brian Cardinal, net_rating, ts_pct, player_weight)"
"(Calbert Cheaney, age, gp, ts_pct)"
"(Brian Grant, reb, dreb_pct, player_weight)"
"(Brian Skinner, player_weight, oreb_pct, dreb_pct)"
"(Bruce Bowen, net_rating, age, gp)"
"(Bruno Sundov, player_height, dreb_pct, player_weight)"
"(Bryant Stith, age, ts_pct, nan)"
"(Bryce Drew, ast_pct, ts_pct, net_rating)"
"(Bryon Russell, age, net_rating, gp)"
"(Brian Scalabrine, player_weight, dreb_pct, player_height)"
"(Chris Webber, pts, reb, usg_pct)"
"(Christian Laettner, player_height, age, dreb_pct)"
"(Chucky Atkins, gp, ast, ts_pct)"
"(Danny Manning, age, player_height, player_weight)"
"(Darius Miles, gp, reb, dreb_pct)"
"(Darrell Armstrong, ast, age, ast_pct)"
"(Darrick Martin, ast_pct, usg_pct, age)"
"(Darvin Ham, ts_pct, oreb_pct, gp)"
"(David Robinson, reb, age, player_height)"
"(Danny Fortson, reb, dreb_pct, oreb_pct)"
"(David Wesley, pts, ast, age)"
"(DeShawn Stevenson, gp, ast_pct, nan)"
"(Dean Garrett, age, dreb_pct, player_height)"
"(Dean Oliver, ast_pct, nan, nan)"
"(Dee Brown, age, nan, nan)"
"(Dell Curry, age, usg_pct, net_rating)"
"(DerMarr Johnson, gp, player_height, ts_pct)"
"(DeSagana Diop, player_weight, player_height, net_rating)"
"(Danny Ferry, age, net_rating, ts_pct)"
"(Daniel Santiago, dreb_pct, player_height, player_weight)"
"(Dana Barros, age, ast_pct, ast)"
"(Chucky Brown, dreb_pct, age, oreb_pct)"
"(Clar. Weatherspoon, reb, player_weight, dreb_pct)"
"(Clifford Robinson, age, pts, gp)"
"(Corey Maggette, ts_pct, pts, usg_pct)"
"(Corie Blount, oreb_pct, age, player_height)"
"(Corliss Williamson, usg_pct, pts, gp)"
"(Courtney Alexander, usg_pct, ts_pct, pts)"
"(Cuttino Mobley, pts, usg_pct, gp)"
"(Dale Davis, reb, oreb_pct, age)"
"(Dalibor Bagaric, player_weight, player_height, dreb_pct)"
"(Damon Jones, net_rating, ast_pct, ts_pct)"
"(Damon Stoudamire, ast, ast_pct, pts)"
"(Damone Brown, usg_pct, player_height, nan)"
"(Dan Langhi, player_height, nan, nan)"
"(Dan Majerle, age, net_rating, gp)"
"(Brad Miller, reb, oreb_pct, player_height)"
"(Bonzi Wells, pts, usg_pct, reb)"
"(Brian Shaw, age, net_rating, ast_pct)"
"(Bobby Jackson, net_rating, gp, usg_pct)"
"(Andrew DeClercq, oreb_pct, player_weight, player_height)"
"(Andrei Kirilenko, gp, net_rating, ts_pct)"
"(Andre Miller, ast, ast_pct, pts)"
"(Amal McCaskill, oreb_pct, player_height, usg_pct)"
"(Alvin Williams, ast, ast_pct, gp)"
"(Alvin Jones, oreb_pct, dreb_pct, player_weight)"
"(Alton Ford, player_weight, dreb_pct, ts_pct)"
"(Alonzo Mourning, reb, pts, player_weight)"
"(Anfernee Hardaway, ast, gp, ast_pct)"
"(Allen Iverson, pts, usg_pct, ast)"
"(Al Harrington, reb, player_weight, pts)"
"(Adrian Griffin, net_rating, ts_pct, gp)"
"(Adonal Foyle, player_weight, oreb_pct, gp)"
"(Aaron Williams, gp, ts_pct, net_rating)"
"(Aaron McKie, ast, ast_pct, pts)"
"(A.J. Guyton, ast_pct, usg_pct, ast)"
"(Bobby Simmons, oreb_pct, player_weight, ts_pct)"
"(Nick Anderson, age, dreb_pct, usg_pct)"
"(Alan Henderson, oreb_pct, player_weight, dreb_pct)"
"(Ansu Sesay, ts_pct, player_height, oreb_pct)"
"(Allan Houston, pts, usg_pct, gp)"
"(Anthony Carter, ast_pct, ast, nan)"
"(Bo Outlaw, gp, age, oreb_pct)"
"(Antawn Jamison, pts, reb, gp)"
"(Bimbo Coles, age, ast_pct, ast)"
"(Ben Wallace, reb, dreb_pct, oreb_pct)"
"(Baron Davis, ast, ast_pct, pts)"
"(Avery Johnson, ast_pct, age, ast)"
"(Austin Croshere, dreb_pct, gp, player_height)"
"(Art Long, oreb_pct, player_weight, dreb_pct)"
"(Bob Sura, ast_pct, ast, gp)"
"(Antonio McDyess, ts_pct, dreb_pct, oreb_pct)"
"(Antonio Harvey, oreb_pct, player_height, age)"
"(Antonio Davis, reb, age, pts)"
"(Antonio Daniels, gp, net_rating, ast)"
"(Antoine Walker, pts, reb, ast)"
"(Anthony Peeler, gp, age, ts_pct)"
"(Antonis Fotsis, player_height, oreb_pct, usg_pct)"
"(Anthony Johnson, ast_pct, net_rating, nan)"
"(Anthony Mason, reb, age, ast)"
"(Popeye Jones, oreb_pct, age, player_weight)"
"(Michael Doleac, player_weight, player_height, gp)"
"(Michael Finley, pts, net_rating, usg_pct)"
"(Michael Jordan, age, pts, usg_pct)"
"(Predrag Savovic, usg_pct, ast_pct, player_weight)"
"(Michael Redd, pts, gp, ts_pct)"
"(Michael Dickerson, ts_pct, age, nan)"
"(Predrag Drobnjak, player_weight, gp, player_height)"
"(Michael Olowokandi, reb, player_weight, dreb_pct)"
"(Michael Curry, age, gp, net_rating)"
"(Matt Harpring, pts, reb, ts_pct)"
"(Metta World Peace, pts, net_rating, player_weight)"
"(Mengke Bateer, player_weight, usg_pct, player_height)"
"(Melvin Ely, player_weight, oreb_pct, player_height)"
"(Mehmet Okur, player_height, dreb_pct, oreb_pct)"
"(Maurice Taylor, player_weight, usg_pct, oreb_pct)"
"(Matt Maloney, net_rating, ast_pct, age)"
"(Mateen Cleaves, usg_pct, ast_pct, net_rating)"
"(Marko Jaric, ast_pct, ast, gp)"
"(Mark Strickland, oreb_pct, dreb_pct, age)"
"(Mark Madsen, oreb_pct, player_weight, player_height)"
"(Pepe Sanchez, ast_pct, oreb_pct, net_rating)"
"(Michael Bradley, oreb_pct, dreb_pct, reb)"
"(Peja Stojakovic, pts, ts_pct, net_rating)"
"(Mike Wilks, ast_pct, ast, net_rating)"
"(Paul Pierce, pts, usg_pct, reb)"
"(Mark Jackson, ast_pct, age, ast)"
"(Michael Stewart, player_height, oreb_pct, dreb_pct)"
"(Mike Batiste, gp, usg_pct, dreb_pct)"
"(Mike Bibby, ast, pts, net_rating)"
"(Mike Dunleavy, gp, net_rating, player_height)"
"(Mike James, ast_pct, gp, ast)"
"(Mike Miller, pts, usg_pct, reb)"
"(Mikki Moore, oreb_pct, player_height, usg_pct)"
"(Milt Palacio, gp, ast, ast_pct)"
"(Monty Williams, net_rating, age, player_height)"
"(Moochie Norris, gp, ast_pct, ast)"
"(Paul Shirley, net_rating, usg_pct, player_height)"
"(Morris Peterson, gp, pts, usg_pct)"
"(Nazr Mohammed, oreb_pct, dreb_pct, player_weight)"
"(Nene, player_weight, oreb_pct, player_height)"
"(Nick Van Exel, ast, ast_pct, usg_pct)"
"(Nikoloz Tskitishvili, player_height, gp, player_weight)"
"(Olumide Oyedeji, dreb_pct, player_height, player_weight)"
"(Oscar Torres, ts_pct, net_rating, usg_pct)"
"(Othella Harrington, dreb_pct, reb, oreb_pct)"
"(P.J. Brown, reb, age, dreb_pct)"
"(Pat Burke, player_height, player_weight, usg_pct)"
"(Pat Garrity, gp, ts_pct, player_weight)"
"(Pau Gasol, reb, pts, player_height)"
"(Nate Huffman, oreb_pct, dreb_pct, player_height)"
"(Mark Bryant, age, player_weight, oreb_pct)"
"(Stephen Jackson, gp, net_rating, usg_pct)"
"(Marcus Haislip, player_height, usg_pct, player_weight)"
"(Kevin Ollie, ast_pct, gp, ast)"
"(Kevin Garnett, reb, pts, dreb_pct)"
"(Kerry Kittles, pts, net_rating, ts_pct)"
"(Keon Clark, player_height, gp, net_rating)"
"(Kenyon Martin, reb, pts, usg_pct)"
"(Kenny Thomas, reb, oreb_pct, dreb_pct)"
"(Kenny Satterfield, ast_pct, usg_pct, nan)"
"(Kenny Anderson, ast_pct, age, ast)"
"(Kendall Gill, age, gp, net_rating)"
"(Ken Johnson, dreb_pct, player_height, player_weight)"
"(Kelvin Cato, dreb_pct, player_weight, oreb_pct)"
"(Keith Van Horn, reb, pts, player_weight)"
"(Kedrick Brown, dreb_pct, oreb_pct, nan)"
"(Karl Malone, age, pts, usg_pct)"
"(Kareem Rush, gp, nan, nan)"
"(Juwan Howard, pts, reb, usg_pct)"
"(Junior Harrington, gp, ast_pct, ast)"
"(Jumaine Jones, gp, reb, ts_pct)"
"(Juaquin Hawkins, net_rating, age, gp)"
"(Juan Dixon, usg_pct, nan, nan)"
"(Joseph Forte, usg_pct, ast_pct, nan)"
"(Jonathan Bender, player_height, ts_pct, net_rating)"
"(Jon Barry, age, net_rating, ts_pct)"
"(Kevin Willis, age, oreb_pct, player_height)"
"(Mark Blount, player_height, gp, player_weight)"
"(Keyon Dooling, ast_pct, usg_pct, ts_pct)"
"(Kobe Bryant, pts, usg_pct, ast)"
"(Marcus Fizer, usg_pct, player_weight, oreb_pct)"
"(Marcus Camby, dreb_pct, oreb_pct, reb)"
"(Marc Jackson, player_weight, oreb_pct, gp)"
"(Manu Ginobili, net_rating, ts_pct, gp)"
"(Mamadou N'diaye, player_height, player_weight, oreb_pct)"
"(Malik Rose, dreb_pct, reb, player_weight)"
"(Malik Allen, player_weight, gp, player_height)"
"(Maceo Baston, ts_pct, dreb_pct, player_height)"
"(Lucious Harris, age, gp, net_rating)"
"(Lorenzen Wright, reb, dreb_pct, player_height)"
"(Loren Woods, player_height, dreb_pct, player_weight)"
"(Lonny Baxter, player_weight, oreb_pct, dreb_pct)"
"(Lindsey Hunter, usg_pct, age, ast_pct)"
"(Lee Nailon, usg_pct, oreb_pct, player_weight)"
"(Lawrence Funderburke, age, oreb_pct, player_height)"
"(Lavor Postell, usg_pct, net_rating, nan)"
"(Latrell Sprewell, ast, pts, age)"
"(Larry Hughes, pts, ast, gp)"
"(Lamar Odom, reb, pts, ast)"
"(Primoz Brezec, oreb_pct, player_height, net_rating)"
"(LaPhonso Ellis, age, player_weight, dreb_pct)"
"(Kwame Brown, player_height, gp, dreb_pct)"
"(Kurt Thomas, reb, dreb_pct, gp)"
"(Kirk Haston, player_weight, player_height, dreb_pct)"
"(Quentin Richardson, usg_pct, reb, oreb_pct)"
"(Stacey Augmon, age, net_rating, gp)"
"(Raef LaFrentz, player_height, net_rating, ts_pct)"
"(Sam Cassell, ast, pts, ast_pct)"
"(Samaki Walker, dreb_pct, player_weight, oreb_pct)"
"(Scot Pollard, oreb_pct, net_rating, player_weight)"
"(Scott Padgett, gp, player_weight, player_height)"
"(Scott Williams, age, player_weight, player_height)"
"(Scottie Pippen, age, ast, net_rating)"
"(Sean Lampley, ts_pct, player_weight, oreb_pct)"
"(Sean Marks, player_weight, player_height, dreb_pct)"
"(Sean Rooks, player_weight, age, player_height)"
"(Shammond Williams, ast_pct, gp, ast)"
"(Shandon Anderson, gp, ts_pct, age)"
"(Shane Battier, ts_pct, gp, reb)"
"(Shaquille O'Neal, player_weight, pts, reb)"
"(Shareef Abdur-Rahim, pts, reb, usg_pct)"
"(Shawn Bradley, player_height, player_weight, net_rating)"
"(Shawn Kemp, player_weight, dreb_pct, age)"
"(Shawn Marion, reb, pts, gp)"
"(Slava Medvedenko, oreb_pct, player_weight, player_height)"
"(Smush Parker, ast_pct, gp, ast)"
"(Soumaila Samake, oreb_pct, dreb_pct, player_height)"
"(Speedy Claxton, ast_pct, ast, net_rating)"
"(John Stockton, ast, ast_pct, age)"
"(Raja Bell, gp, net_rating, ts_pct)"
"(Ryan Humphrey, oreb_pct, dreb_pct, player_weight)"
"(Stephon Marbury, ast, pts, ast_pct)"
"(Ryan Bowen, oreb_pct, player_height, ts_pct)"
"(Ruben Patterson, gp, oreb_pct, net_rating)"
"(Rashard Lewis, pts, reb, gp)"
"(Rasheed Wallace, pts, reb, player_height)"
"(Rasho Nesterovic, player_height, reb, gp)"
"(Rasual Butler, gp, usg_pct, nan)"
"(Ray Allen, pts, usg_pct, ast)"
"(Reggie Evans, dreb_pct, oreb_pct, reb)"
"(Reggie Miller, age, ts_pct, pts)"
"(Reggie Slater, oreb_pct, player_weight, usg_pct)"
"(Richard Hamilton, usg_pct, pts, gp)"
"(Richard Jefferson, pts, reb, gp)"
"(Rick Brunson, ast_pct, age, ts_pct)"
"(Rick Fox, age, ast, gp)"
"(Ricky Davis, pts, ast, usg_pct)"
"(Robert Archibald, player_height, player_weight, usg_pct)"
"(Robert Horry, reb, gp, age)"
"(Robert Pack, ast_pct, age, ast)"
"(Robert Traylor, player_weight, oreb_pct, dreb_pct)"
"(Rod Strickland, ast_pct, age, ast)"
"(Rodney Rogers, player_weight, age, dreb_pct)"
"(Rodney White, usg_pct, gp, player_height)"
"(Roger Mason Jr., ast_pct, nan, nan)"
"(Ron Mercer, gp, net_rating, usg_pct)"
"(Ruben Boumtje-Boumtje, oreb_pct, net_rating, ast_pct)"
"(Ruben Wolkowyski, player_weight, player_height, age)"
"(Qyntel Woods, usg_pct, player_height, ts_pct)"
"(Steve Francis, ast, pts, ast_pct)"
"(Steve Nash, ast, ast_pct, pts)"
"(Troy Murphy, reb, dreb_pct, player_height)"
"(Tyrone Hill, dreb_pct, age, reb)"
"(Tyronn Lue, ast, ast_pct, gp)"
"(Tyson Chandler, player_height, reb, dreb_pct)"
"(Vin Baker, oreb_pct, player_height, player_weight)"
"(Vince Carter, pts, usg_pct, ast)"
"(Vincent Yarbrough, ast_pct, ast, gp)"
"(Vitaly Potapenko, player_weight, dreb_pct, player_height)"
"(Vlade Divac, age, player_height, reb)"
"(Vladimir Radmanovic, player_height, net_rating, gp)"
"(Vladimir Stepania, oreb_pct, dreb_pct, player_height)"
"(Voshon Lenard, pts, usg_pct, age)"
"(Wally Szczerbiak, pts, ts_pct, player_weight)"
"(Walt Williams, age, net_rating, gp)"
"(Walter McCarty, gp, player_height, ts_pct)"
"(Wang Zhi-zhi, player_weight, player_height, usg_pct)"
"(Wesley Person, age, ts_pct, pts)"
"(Yao Ming, player_height, player_weight, reb)"
"(Zach Randolph, oreb_pct, player_weight, dreb_pct)"
"(Zeljko Rebraca, player_height, ts_pct, player_weight)"
"(Zendon Hamilton, dreb_pct, usg_pct, player_weight)"
"(Zydrunas Ilgauskas, player_height, usg_pct, reb)"
"(Rafer Alston, ast_pct, ast, usg_pct)"
"(Troy Hudson, ast, ast_pct, pts)"
"(Steve Kerr, age, gp, ts_pct)"
"(Trenton Hassell, gp, ast, nan)"
"(Travis Knight, player_height, dreb_pct, player_weight)"
"(Steven Hunter, player_height, oreb_pct, net_rating)"
"(Steven Smith, age, net_rating, ts_pct)"
"(Stromile Swift, dreb_pct, reb, oreb_pct)"
"(Tamar Slay, usg_pct, player_height, net_rating)"
"(Tariq Abdul-Wahad, net_rating, oreb_pct, ast_pct)"
